,session,exercise,name,user,url,commits,runs,completed,completed_at,failed
0,['python'],0,python,python,https://api.github.com/repos/DB-Teaching/python,2990,0,0,[],0
1,github,starter,github-starter-course,course,https://api.github.com/repos/DB-Teaching/github-starter-course,1,0,0,[],0
2,01,04,01-04_grains,04_grains,https://api.github.com/repos/DB-Teaching/01-04_grains,1,0,0,[],0
3,01,05,01-05_pangram,05_pangram,https://api.github.com/repos/DB-Teaching/01-05_pangram,2,0,0,[],0
4,01,01,01-01_hello-world,world,https://api.github.com/repos/DB-Teaching/01-01_hello-world,1,0,0,[],0
5,01,02,01-02_leap,02_leap,https://api.github.com/repos/DB-Teaching/01-02_leap,1,0,0,[],0
6,01,03,01-03_difference-of-squares,squares,https://api.github.com/repos/DB-Teaching/01-03_difference-of-squares,1,0,0,[],0
7,01,03,01-03_gigasecond,03_gigasecond,https://api.github.com/repos/DB-Teaching/01-03_gigasecond,1,0,0,[],0
8,01,06,01-06_two-fer,fer,https://api.github.com/repos/DB-Teaching/01-06_two-fer,1,0,0,[],0
9,01,07,01-07_collatz-conjecture,conjecture,https://api.github.com/repos/DB-Teaching/01-07_collatz-conjecture,1,0,0,[],0
10,01,08,01-08_bob,08_bob,https://api.github.com/repos/DB-Teaching/01-08_bob,1,0,0,[],0
11,02,01,02-01_queen-attack,attack,https://api.github.com/repos/DB-Teaching/02-01_queen-attack,2,1,0,[],1
12,02,02,02-02_triangle,02_triangle,https://api.github.com/repos/DB-Teaching/02-02_triangle,1,0,0,[],0
13,02,03,02-03_perfect-numbers,numbers,https://api.github.com/repos/DB-Teaching/02-03_perfect-numbers,1,0,0,[],0
14,02,04,02-04_sublist,04_sublist,https://api.github.com/repos/DB-Teaching/02-04_sublist,1,0,0,[],0
15,02,05,02-05_diamond,05_diamond,https://api.github.com/repos/DB-Teaching/02-05_diamond,1,0,0,[],0
16,02,06,02-06_yacht,06_yacht,https://api.github.com/repos/DB-Teaching/02-06_yacht,1,0,0,[],0
17,02,07,02-07_pythagorean-triplet,triplet,https://api.github.com/repos/DB-Teaching/02-07_pythagorean-triplet,2,0,0,[],0
